V,I,G,P,no_module_fault,fault,partial_shading
140.86592,9.77206,843.23588,1376.5502221952,0,0,0
141.53655,9.78997,843.05683,1385.6385784035,0,0,0
140.06642,9.80936,843.40748,1373.9619376912,0,0,0
139.56272,9.79521,843.57717,1367.0461505712,0,0,0
139.95776,9.78814,843.49243,1369.9261489664,0,0,0
140.40255,9.79618,843.5695,1375.408652259,0,0,0
140.26336,9.79948,843.51329,1374.5079910528,0,0,0
141.36938,9.81521,843.93995,1387.5701522698,0,0,0
141.39246,9.79692,843.54182,1385.2106192232,0,0,0
142.33175,9.779,843.426,1391.86218325,0,0,0
140.8559,9.80862,843.48626,1381.601997858,0,0,0
136.71756,9.81235,843.47753,1341.520549866,0,0,0
137.01801,9.78482,843.58568,1340.6965646082,0,0,0
137.67786,9.83416,843.56886,1353.9461036976,0,0,0
143.35713,9.69361,843.67425,1389.6481089393,0,0,0
140.922,9.73313,843.97977,1371.61214586,0,0,0
142.34977,9.70492,843.42473,1381.4931298684,0,0,0
140.69469,9.67613,843.33722,1361.3801107497,0,0,0
139.01249,9.70199,843.72237,1348.6977878551,0,0,0
141.34741,9.72677,843.61655,1374.8537471657,0,0,0
141.054,9.69007,843.46198,1366.82313378,0,0,0
141.7387,9.70913,843.44389,1376.159464331,0,0,0
138.80295,9.74567,843.44069,1352.7277457265,0,0,0
138.0523,9.70388,843.1933,1339.642952924,0,0,0
140.95176,9.80205,843.48008,1381.616199108,0,0,0
141.70155,9.77764,843.38534,1385.506743342,0,0,0
138.4891,9.76252,843.34531,1352.002608532,0,0,0
140.03459,9.79478,843.51372,1371.6080014402,0,0,0
139.66232,9.83955,843.4309,1374.214380756,0,0,0
140.28077,9.79797,843.49073,1374.4667760369,0,0,0
140.09077,9.75868,843.49796,1367.1009953836,0,0,0
140.50332,9.79904,843.56205,1376.7976528128,0,0,0
143.14972,9.79506,843.38023,1402.1600963832,0,0,0
139.53923,9.76327,843.21608,1362.3591780821,0,0,0
142.4148,9.7676,842.71767,1391.05080048,0,0,0
140.04628,9.76272,842.95101,1367.2326186816,0,0,0
139.57724,9.79417,843.01872,1367.0432166908,0,0,0
140.42705,9.79773,843.23609,1375.8663205965,0,0,0
141.80577,9.75956,843.07343,1383.9619206612,0,0,0
143.26785,9.81437,843.14965,1406.0836890045,0,0,0
138.59625,9.82123,843.13837,1361.1856483875,0,0,0
139.59855,9.79073,843.11836,1366.7717114415,0,0,0
141.65681,9.79155,843.3962,1387.0397379555,0,0,0
139.96844,9.80391,843.37853,1372.2379886004,0,0,0
137.86442,9.90457,843.01701,1365.4877983994,0,0,0
138.46672,9.88998,843.06215,1369.4330914656,0,0,0
140.00174,9.84145,843.08195,1377.820124123,0,0,0
138.62034,9.84456,842.94314,1364.6562543504,0,0,0
140.68579,9.89746,842.94974,1392.4319790934,0,0,0
139.03972,9.90748,843.31465,1377.5332451056,0,0,0
140.34384,9.85869,843.49264,1383.6064119696,0,0,0
141.35779,9.87235,842.81944,1395.5335781065,0,0,0
138.27713,9.878,843.13262,1365.90149014,0,0,0
137.37686,9.85907,843.0911,1354.4080791202,0,0,0
136.34515,9.86691,843.36362,1345.3053239865,0,0,0
138.79323,9.86438,843.58313,1369.1091621474,0,0,0
138.26634,9.85321,843.58249,1362.3672839514,0,0,0
141.15184,9.90151,843.52841,1397.6163552784,0,0,0
137.19237,9.88725,843.41642,1356.4552602825,0,0,0
139.89732,9.88058,843.20671,1382.2666620456,0,0,0
140.43975,9.87754,843.3632,1387.199248215,0,0,0
138.27753,9.90076,843.53778,1369.0526379228,0,0,0
139.82393,9.9165,843.43282,1386.564001845,0,0,0
138.97706,9.86713,843.40748,1371.3047180378,0,0,0
142.18902,9.87386,843.03958,1403.9544770172,0,0,0
137.68378,9.90527,843.46816,1363.7950155206,0,0,0
140.01196,9.85908,843.37831,1380.3891145968,0,0,0
138.63365,9.8317,843.23609,1363.004456705,0,0,0
137.45065,9.90146,843.44687,1360.962112949,0,0,0
137.71688,9.88059,843.32551,1360.7240273592,0,0,0
139.84494,9.848,843.63976,1377.19296912,0,0,0
138.10271,9.88346,843.4705,1364.9326101766,0,0,0
138.22029,9.88927,843.22417,1366.8977672883,0,0,0
139.47126,9.903,843.44367,1381.18388778,0,0,0
139.25023,9.88875,843.28144,1377.0107119125,0,0,0
140.11668,9.87659,843.30252,1383.8750005212,0,0,0
137.47449,9.8821,843.36618,1358.536657629,0,0,0
140.13794,9.87586,843.19585,1383.9826761284,0,0,0
137.19854,9.87084,842.91056,1354.2648365736,0,0,0
136.60571,9.89468,843.17797,1351.6697866228,0,0,0
137.17238,9.88506,843.0151,1355.9572066428,0,0,0
137.73839,9.82871,843.25972,1353.7906911769,0,0,0
137.65746,9.85025,843.2033,1355.960395365,0,0,0
140.27187,9.88581,843.23907,1386.7010551647,0,0,0
138.72354,9.89626,843.23971,1372.8442199604,0,0,0
138.46703,9.89866,843.06002,1370.6380511798,0,0,0
139.36122,9.85036,843.12836,1372.7581870392,0,0,0
140.06172,9.84544,843.11538,1378.9692605568,0,0,0
134.83301,9.90611,843.20756,1335.6706286911,0,0,0
138.55737,9.91413,843.08642,1373.6757786381,0,0,0
141.61541,9.8243,842.89353,1391.272272463,0,0,0
138.71129,9.85235,843.1241,1366.6321780315,0,0,0
138.84577,9.8917,842.90141,1373.420703109,0,0,0
136.18956,9.89447,843.2246,1347.5235157332,0,0,0
137.58199,9.91104,843.16115,1363.5806061696,0,0,0
138.22317,9.9678,843.15519,1377.780913926,0,0,0
137.21337,10.02317,843.1835,1375.3129337829,0,0,0
139.00617,9.94958,842.99168,1383.0530089086,0,0,0
138.90322,9.91762,843.16413,1377.5893527364,0,0,0
140.88875,9.95454,843.17009,1402.482697425,0,0,0
139.31329,9.94731,843.41898,1385.7924827499,0,0,0
134.81641,9.93389,843.12347,1339.2513871349,0,0,0
138.56967,9.93287,843.41855,1376.3945180529,0,0,0
139.29077,9.99233,843.46624,1391.8393397941,0,0,0
138.84344,9.94332,842.81454,1380.5647538208,0,0,0
139.58413,9.97846,842.94633,1392.8346578398,0,0,0
141.34857,9.95822,842.9293,1407.5801567454,0,0,0
135.69278,9.96338,843.31998,1351.9587303964,0,0,0
137.07611,9.94186,843.13709,1362.7914949646,0,0,0
140.33048,9.94996,843.12474,1396.2826627808,0,0,0
138.83109,9.9941,843.11303,1387.491796569,0,0,0
138.63663,9.97522,843.13347,1382.9308843086,0,0,0
137.19986,9.9725,843.35766,1368.22560385,0,0,0
135.60811,9.97643,843.34467,1352.8848168473,0,0,0
141.91302,9.86256,842.63528,1399.6256745312,0,0,0
142.24844,9.88983,843.21842,1406.8128893652,0,0,0
139.95032,9.87524,843.07876,1382.0429980768,0,0,0
137.13644,9.85797,842.75046,1351.8869114268,0,0,0
135.62886,9.86263,842.93526,1337.6572635018,0,0,0
140.39445,9.90208,843.01297,1390.197075456,0,0,0
135.10551,9.8937,843.1009,1336.693384287,0,0,0
138.24974,9.87247,842.86904,1364.8664106578,0,0,0
139.30671,9.86856,843.34233,1374.7566260376,0,0,0
136.85488,9.91821,843.18478,1357.3554393648,0,0,0
139.99668,9.89519,843.11218,1385.2937479692,0,0,0
138.17752,9.88152,843.04001,1365.4039274304,0,0,0
140.45443,9.92286,842.87032,1393.7096452698,0,0,0
138.26235,9.89258,843.02596,1367.771358363,0,0,0
141.17213,9.83868,843.18989,1388.9474119884,0,0,0
140.06749,9.85413,843.2131,1380.2432552337,0,0,0
137.27629,9.89805,842.68829,1358.7675822345,0,0,0
136.61805,9.89296,842.78729,1351.556903928,0,0,0
139.99597,9.85066,843.19713,1379.0527018402,0,0,0
139.58246,9.88526,842.8469,1379.8089085396,0,0,0
142.10166,9.81102,842.6291,1394.1622282932,0,0,0
139.15249,9.80451,842.47943,1364.3219797299,0,0,0
139.53017,9.79215,842.44494,1366.3003541655,0,0,0
140.8517,9.79194,842.34892,1379.211395298,0,0,0
139.68905,9.80455,842.35978,1369.5882751775,0,0,0
140.52048,9.77865,842.79772,1374.100591752,0,0,0
139.67189,9.81276,842.4971,1370.5667353164,0,0,0
138.46662,9.78972,842.20776,1355.5494391464,0,0,0
141.79271,9.78964,842.67807,1388.0995855244,0,0,0
142.17064,9.77847,842.52265,1390.2113381208,0,0,0
139.87227,9.80329,842.66977,1371.2084257683,0,0,0
142.41091,9.76092,842.70277,1390.0614996372,0,0,0
140.2293,9.7828,843.16626,1371.83519604,0,0,0
139.38,9.79481,842.87586,1365.2006178,0,0,0
141.1031,9.80845,842.75259,1384.002701195,0,0,0
137.24749,9.7959,843.06726,1344.462687291,0,0,0
137.26657,9.78024,842.85159,1342.4999985768,0,0,0
140.30669,9.82446,842.99338,1378.4374636374,0,0,0
138.12382,9.79051,842.8122,1352.3026409482,0,0,0
140.74237,9.79055,842.75365,1377.9452106035,0,0,0
141.34862,9.77673,843.19649,1381.9272936126,0,0,0
138.63228,9.79394,843.26547,1357.7562323832,0,0,0
138.39698,9.82786,843.20756,1360.1461438628,0,0,0
140.21356,9.79083,843.24312,1372.8071296548,0,0,0
139.64942,9.80561,843.56333,1369.3477492462,0,0,0
139.15649,9.83941,843.3764,1369.2177592709,0,0,0
140.21174,9.8028,843.16221,1374.467644872,0,0,0
